lead_id,company,market,currency,campaign_name,channel,campaign_budget,product,pipeline_stage,deal_value_usd,created_date,email_opened,email_clicked,company_size,lead_score,deal_value_local
NP-1000,NovaPay,UK,GBP,Influencer Summer,Influencer,22000,NovaPay Pro,Lead,0.0,2024-06-18,,,1-10,96,0.0
NP-1001,NovaPay,Singapore,SGD,Influencer Summer,Influencer,22000,NovaPay Basic,Qualified,0.0,2024-06-04,,,1-10,37,0.0
NP-1002,NovaPay,India,INR,Spring Email Push,Email,6000,NovaPay Basic,Lead,0.0,2024-04-24,True,False,51-200,10,0.0
NP-1003,NovaPay,UAE,AED,Spring Email Push,Email,6000,NovaPay Basic,Lead,0.0,2024-03-29,True,False,51-200,54,0.0
NP-1004,NovaPay,Germany,EUR,Fintech Webinar Series,Webinar,7500,NovaPay Basic,Qualified,0.0,2024-05-25,,,201-500,20,0.0
NP-1005,NovaPay,Germany,EUR,Fintech Webinar Series,Webinar,7500,NovaPay Pro,Negotiation,0.0,2024-06-25,,,500+,34,0.0
NP-1006,NovaPay,UK,GBP,Influencer Summer,Influencer,22000,NovaPay Pro,Demo,0.0,2024-06-11,,,11-50,22,0.0
NP-1007,NovaPay,Germany,EUR,Partner Referral Q2,Referral,12000,NovaPay Pro,Lead,0.0,2024-05-22,,,51-200,36,0.0
NP-1008,NovaPay,Germany,EUR,Influencer Summer,Influencer,22000,NovaPay Enterprise,Demo,0.0,2024-06-22,,,500+,41,0.0
NP-1009,NovaPay,India,INR,Spring Email Push,Email,6000,NovaPay Basic,Negotiation,0.0,2024-04-26,True,False,1-10,39,0.0
NP-1010,NovaPay,Singapore,SGD,Q1 Launch Blitz,Paid Social,18000,NovaPay Basic,Lead,0.0,2024-03-22,,,51-200,37,0.0
NP-1011,NovaPay,India,INR,Influencer Summer,Influencer,22000,NovaPay Enterprise,Qualified,0.0,2024-06-19,,,51-200,27,0.0
NP-1012,NovaPay,UAE,AED,Spring Email Push,Email,6000,NovaPay Pro,Demo,0.0,2024-04-09,False,False,201-500,56,0.0
NP-1013,NovaPay,USA,USD,Spring Email Push,Email,6000,NovaPay Basic,Qualified,0.0,2024-02-21,False,False,11-50,90,0.0
NP-1014,NovaPay,UAE,AED,Spring Email Push,Email,6000,NovaPay Basic,Lead,0.0,2024-04-03,False,False,201-500,77,0.0
NP-1015,NovaPay,USA,USD,SEO Content Drive,Organic Search,9000,NovaPay Enterprise,Lead,0.0,2024-03-15,,,500+,44,0.0
NP-1016,NovaPay,Germany,EUR,Influencer Summer,Influencer,22000,NovaPay Basic,Lead,0.0,2024-06-01,,,51-200,74,0.0
NP-1017,NovaPay,India,INR,Spring Email Push,Email,6000,NovaPay Basic,Qualified,0.0,2024-04-19,False,False,11-50,57,0.0
NP-1018,NovaPay,India,INR,Spring Email Push,Email,6000,NovaPay Pro,Qualified,0.0,2024-02-15,False,False,201-500,12,0.0
NP-1019,NovaPay,USA,USD,Q1 Launch Blitz,Paid Social,18000,NovaPay Enterprise,Proposal,0.0,2024-02-18,,,11-50,17,0.0
NP-1020,NovaPay,Singapore,SGD,Spring Email Push,Email,6000,NovaPay Enterprise,Lead,0.0,2024-04-17,False,False,500+,26,0.0
NP-1021,NovaPay,UAE,AED,Spring Email Push,Email,6000,NovaPay Enterprise,Lead,0.0,2024-04-22,False,False,201-500,37,0.0
NP-1022,NovaPay,UAE,AED,Fintech Webinar Series,Webinar,7500,NovaPay Pro,Demo,0.0,2024-06-30,,,51-200,66,0.0
NP-1023,NovaPay,India,INR,Fintech Webinar Series,Webinar,7500,NovaPay Basic,Lead,0.0,2024-05-12,,,500+,80,0.0
NP-1024,NovaPay,India,INR,Spring Email Push,Email,6000,NovaPay Basic,Demo,0.0,2024-02-22,True,False,51-200,19,0.0
NP-1025,NovaPay,UK,GBP,Fintech Webinar Series,Webinar,7500,NovaPay Pro,Lead,0.0,2024-05-26,,,500+,83,0.0
NP-1026,NovaPay,UK,GBP,Partner Referral Q2,Referral,12000,NovaPay Basic,Lead,0.0,2024-04-17,,,1-10,94,0.0
NP-1027,NovaPay,Germany,EUR,Partner Referral Q2,Referral,12000,NovaPay Basic,Proposal,0.0,2024-04-11,,,1-10,17,0.0
